# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/work/07368/sbes29/ls6/db/Amil.coding.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.txt" "-T" "64" "--primary" "o0.bam" "o10.bam" "o1.bam" "o2.bam" "o3.bam" "o4.bam" "o6.bam" "o7.bam" "o8.bam" "o9.bam" "oM1.bam" "w22.bam" "w23.bam" "w24.bam" "w25.bam" "w26.bam" "w27.bam" "w28.bam" "w30.bam" "w31.bam" 
Geneid	Chr	Start	End	Strand	Length	o0.bam	o10.bam	o1.bam	o2.bam	o3.bam	o4.bam	o6.bam	o7.bam	o8.bam	o9.bam	oM1.bam	w22.bam	w23.bam	w24.bam	w25.bam	w26.bam	w27.bam	w28.bam	w30.bam	w31.bam
Amillepora13091	chr12	1933401	1937792	+	4392	14	5	54	3	15	1	11	13	30	46	117	3	11	19	6	23	2	1	36	0
Amillepora13090	chr12	1923792	1931007	+	7216	129	126	101	107	56	27	42	78	45	79	59	72	35	128	13	43	52	84	49	34
Amillepora13092	chr12	1951839	1952731	-	893	107	72	133	91	46	61	78	62	36	51	97	51	50	25	5	30	58	97	51	18
Amillepora13089	chr12	1913747	1922481	-	8735	25	46	36	29	6	8	14	15	12	13	23	22	2	16	4	14	9	10	16	17
Amillepora13088	chr12	1903835	1912805	-	8971	93	108	158	128	59	43	81	63	46	83	72	106	46	68	29	74	66	82	77	57
Amillepora13093	chr12	1959183	1960166	-	984	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0
Amillepora13087	chr12	1890375	1898524	-	8150	1343	443	285	848	501	393	282	964	143	465	374	2947	462	537	280	557	355	435	410	397
Amillepora13098	chr12	2023430	2030006	+	6577	11	15	22	9	1	2	6	11	4	9	4	15	1	4	4	7	2	2	12	1
Amillepora13100	chr12	2057197	2069655	+	12459	58	77	152	52	44	32	72	33	45	35	53	41	19	26	10	56	38	46	36	30
Amillepora13095	chr12	2000536	2014499	+	13964	87	100	134	115	47	21	69	50	20	57	64	68	31	52	26	63	29	50	35	32
Amillepora13097	chr12	2017673	2023363	-	5691	86	127	116	102	35	21	50	43	36	49	49	77	50	59	18	67	40	46	66	48
Amillepora13094	chr12	1982196	2000448	-	18253	118	127	125	159	71	39	100	116	66	84	65	125	42	73	27	125	77	67	92	55
Amillepora13099	chr12	2028808	2039733	-	10926	10	11	23	20	7	2	6	11	2	7	5	11	4	4	0	5	10	9	8	8
Amillepora13102	chr12	2076255	2079275	-	3021	4	0	5	0	0	0	0	0	0	0	3	4	0	2	0	0	1	1	0	0
Amillepora13101	chr12	2071512	2075219	-	3708	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora13105	chr12	2159339	2167575	+	8237	123	101	135	72	42	53	45	48	24	58	47	99	63	57	21	60	19	80	45	24
Amillepora13103	chr12	2086721	2101275	+	14555	425	718	664	437	312	139	326	320	343	293	381	294	201	178	75	232	199	357	275	158
Amillepora13104	chr12	2112855	2124472	-	11618	219	233	233	209	162	94	153	162	107	168	153	238	103	152	67	192	135	156	128	120
Amillepora13106	chr12	2173033	2185204	-	12172	8	93	29	29	12	2	11	3	30	5	8	70	2	8	5	50	12	4	7	24
Amillepora13107	chr12	2187887	2197086	+	9200	1129	1242	1168	1357	954	541	1321	833	303	1095	831	989	469	800	230	902	564	723	637	625
Amillepora13110	chr12	2216701	2232126	-	15426	805	565	926	591	458	401	493	516	322	556	442	788	423	496	256	723	430	536	426	337
Amillepora13112	chr12	2246381	2264555	-	18175	401	321	358	317	228	133	246	289	121	263	256	296	161	187	71	296	145	236	209	144
Amillepora13109	chr12	2200809	2208404	-	7596	5	14	21	14	8	6	10	9	5	1	8	7	4	9	3	6	2	2	9	3
Amillepora13119	chr12	2311299	2313947	+	2649	68	152	94	63	73	27	90	91	43	69	61	97	35	29	15	53	32	28	23	41
Amillepora13116	chr12	2264636	2287991	+	23356	160	177	206	162	95	70	141	163	60	116	109	159	82	126	44	126	121	103	99	67
Amillepora13126	chr12	2366845	2372500	+	5656	205	170	206	198	112	63	140	231	86	139	133	209	88	85	43	160	83	167	145	128
Amillepora13111	chr12	2237945	2245179	+	7235	2484	2422	3104	2023	1635	969	1973	2629	676	2131	1402	1999	1012	1340	562	1812	1206	1866	1477	1396
Amillepora13125	chr12	2350052	2366534	-	16483	151	189	220	196	102	71	109	119	61	175	119	150	86	112	50	139	105	115	113	72
Amillepora13120	chr12	2315531	2324828	-	9298	56	56	72	63	41	24	35	53	29	43	41	59	15	35	8	35	18	69	36	38
Amillepora13123	chr12	2332581	2349625	-	17045	288	323	340	430	240	153	324	226	118	191	163	390	163	202	123	301	186	245	192	153
Amillepora13122	chr12	2329174	2331352	-	2179	2619	1874	2051	2318	1757	1307	983	1910	667	1777	1606	1952	1048	1164	465	1350	890	1960	1037	1195
Amillepora13127	chr12	2374736	2380995	-	6260	3	3	3	0	1	0	3	0	0	1	2	2	0	2	0	3	1	2	2	2
Amillepora13118	chr12	2306441	2311421	-	4981	197	151	136	60	79	51	81	122	68	132	89	207	42	135	65	80	104	90	142	100
Amillepora13117	chr12	2303678	2306113	-	2436	78	11	20	19	20	6	11	13	5	11	11	65	9	56	14	18	28	2	55	21
Amillepora13128	chr12	2381041	2382864	-	1824	0	1	0	3	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	1
Amillepora13133	chr12	2440610	2441663	+	1054	3	2	10	2	1	2	12	2	6	6	1	3	3	3	1	0	2	1	2	1
Amillepora13131	chr12	2417344	2432760	+	15417	162	154	175	102	72	39	86	105	65	90	130	117	55	59	52	103	79	79	87	52
Amillepora13134	chr12	2447529	2452261	-	4733	537	772	692	398	331	294	513	719	312	624	412	450	338	349	134	333	362	445	273	160
Amillepora13130	chr12	2404598	2414264	-	9667	40	52	62	55	27	22	34	35	32	48	59	36	30	22	11	48	14	36	26	27
Amillepora13132	chr12	2434845	2440297	-	5453	163	89	85	106	81	42	45	51	29	53	42	115	34	37	16	73	26	60	50	44
Amillepora13139	chr12	2565180	2570029	+	4850	8	4	3	4	4	3	0	2	2	3	3	4	0	3	3	3	1	6	3	2
Amillepora13136	chr12	2527253	2531433	+	4181	17	2	19	5	4	7	4	10	4	10	11	10	4	2	1	4	1	17	0	6
Amillepora13135	chr12	2454263	2498567	+	44305	2504	2721	2814	1966	1236	1285	2009	1475	1219	2116	1862	1694	1431	1046	585	932	792	1198	1528	733
Amillepora13138	chr12	2546664	2553647	+	6984	26	11	18	17	14	12	11	15	1	15	8	9	10	13	5	15	7	14	9	17
Amillepora13141	chr12	2583828	2588024	+	4197	16	5	7	17	2	3	4	32	4	3	32	2	5	1	2	3	0	8	6	4
Amillepora13137	chr12	2531659	2534214	-	2556	1	0	1	1	0	1	3	2	1	0	0	1	0	0	0	1	1	1	0	1
Amillepora13140	chr12	2572570	2577463	-	4894	7	10	4	9	1	0	5	5	0	2	6	3	3	1	1	3	1	4	3	0
Amillepora13143	chr12	2615111	2628623	+	13513	92	313	163	273	208	70	119	158	152	314	184	941	141	337	90	184	303	283	157	113
Amillepora13145	chr12	2636246	2638240	-	1995	89	97	141	119	40	42	113	78	39	115	68	84	47	55	40	71	41	57	58	51
Amillepora13146	chr12	2641587	2653697	-	12111	97	82	105	64	39	28	46	93	39	46	46	138	32	25	24	45	34	58	49	25
Amillepora13144	chr12	2631249	2632895	-	1647	1	9	1	0	3	5	1	5	2	5	11	2	1	10	0	4	12	9	5	2
Amillepora13142	chr12	2589595	2607392	-	17798	876	847	1079	1112	551	296	696	834	255	625	406	853	394	585	288	772	438	608	524	383
Amillepora13147	chr12	2669259	2679040	-	9782	41	38	54	27	18	22	24	45	19	24	24	52	16	23	28	37	22	76	18	19
Amillepora13153	chr12	2736184	2740931	+	4748	42	79	85	57	42	42	64	78	8	59	49	47	27	32	27	49	34	55	14	18
Amillepora13152	chr12	2734241	2735489	+	1249	23	74	108	23	26	24	43	31	11	38	37	31	32	16	10	26	28	28	22	12
Amillepora13149	chr12	2702226	2729983	-	27758	967	772	1179	1654	911	309	1306	1226	325	663	495	1259	504	723	708	1266	492	773	652	575
Amillepora13148	chr12	2685701	2692611	-	6911	17	20	31	36	15	6	15	25	11	10	15	23	9	22	13	18	18	56	17	9
Amillepora13155	chr12	2752126	2773604	-	21479	36	65	73	106	24	21	29	31	25	94	48	26	53	58	19	38	17	37	17	35
Amillepora13159	chr12	2830212	2841996	+	11785	2632	2580	3283	2022	1597	1214	1775	1949	997	2354	1993	2651	1415	1827	481	1872	1319	1902	1208	1464
Amillepora13157	chr12	2784066	2791110	+	7045	83	158	132	63	65	22	70	146	33	70	87	91	37	62	42	109	65	84	43	67
Amillepora13158	chr12	2794851	2830045	-	35195	64	57	41	67	35	10	40	47	25	33	25	42	13	30	28	49	28	20	29	10
Amillepora13160	chr12	2863030	2864049	-	1020	4	5	7	14	1	3	0	0	1	5	8	8	5	1	0	3	0	6	2	5
Amillepora13166	chr12	2922139	2929495	+	7357	4	6	3	2	8	1	5	6	2	3	4	7	0	3	2	2	2	0	5	3
Amillepora13169	chr12	2944162	2951379	+	7218	135	109	95	98	75	40	151	110	50	78	79	97	44	66	21	59	44	87	78	48
Amillepora13163	chr12	2900737	2904663	+	3927	5	9	20	5	0	0	1	3	1	6	2	2	0	1	2	1	9	7	4	1
Amillepora13164	chr12	2909228	2915582	+	6355	36	3	148	12	19	51	24	41	21	35	26	17	31	4	16	26	24	55	33	10
Amillepora13171	chr12	2965052	2970414	+	5363	43	80	52	44	24	27	30	45	27	52	45	59	22	31	25	50	38	37	42	36
Amillepora13168	chr12	2937409	2943645	-	6237	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Amillepora13161	chr12	2878614	2899787	-	21174	366	430	423	468	211	133	307	370	125	304	243	337	125	183	118	372	160	205	217	197
Amillepora13167	chr12	2930084	2931938	-	1855	6	3	4	6	2	2	2	4	3	2	1	4	1	3	3	4	2	0	6	3
Amillepora13170	chr12	2954250	2958338	-	4089	4	24	23	19	14	4	10	9	6	10	18	10	2	5	2	16	22	14	11	7
Amillepora13178	chr12	3070057	3079065	+	9009	7	12	12	34	6	3	91	4	6	136	5	209	40	46	16	14	2	10	85	2
Amillepora13176	chr12	3028705	3043478	+	14774	159	144	174	191	84	51	85	114	72	114	94	120	61	98	29	103	56	114	71	55
Amillepora13173	chr12	3008014	3014036	+	6023	5	4	8	8	1	0	4	1	2	1	0	3	1	3	0	2	1	4	2	1
Amillepora13175	chr12	3025107	3028532	-	3426	19	16	29	24	4	5	11	20	8	12	12	16	7	9	4	20	7	20	7	6
Amillepora13179	chr12	3087480	3089595	-	2116	150	171	173	145	133	84	155	182	53	121	109	126	90	111	76	121	123	151	150	76
Amillepora13177	chr12	3044486	3062219	-	17734	153	207	188	134	109	51	123	191	40	139	72	108	42	100	48	89	92	102	116	63
Amillepora13172	chr12	2988547	2990984	-	2438	56	71	63	115	73	37	78	66	23	112	36	124	58	46	25	68	45	89	62	49
Amillepora13174	chr12	3018906	3021974	-	3069	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0
Amillepora13181	chr12	3102775	3113082	+	10308	6	8	6	5	5	1	2	1	5	2	2	3	1	2	2	4	2	4	4	8
Amillepora13180	chr12	3094471	3100099	+	5629	460	453	620	570	355	161	367	691	141	690	330	602	211	370	189	525	392	216	204	191
Amillepora13188	chr12	3174017	3185797	+	11781	164	183	201	377	70	49	111	132	63	108	127	151	57	100	43	141	85	131	85	71
Amillepora13183	chr12	3115507	3140151	+	24645	128	167	168	98	58	38	74	72	62	73	88	162	43	75	32	75	57	104	67	54
Amillepora13187	chr12	3164828	3172713	+	7886	3219	2240	1827	2029	1211	654	941	1714	858	1479	1339	2818	654	1301	658	1629	1057	1507	1155	1111
Amillepora13186	chr12	3151581	3162017	+	10437	275	275	370	316	118	66	159	199	120	221	209	294	138	158	76	206	118	142	133	111
Amillepora13184	chr12	3139505	3140151	-	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora13185	chr12	3145810	3151199	-	5390	314	301	344	329	267	171	290	221	106	212	177	313	177	198	74	275	137	223	138	186
Amillepora13191	chr12	3208325	3213901	+	5577	9	7	6	62	11	4	32	12	3	4	2	12	7	4	5	9	3	7	5	4
Amillepora13190	chr12	3188902	3203948	+	15047	12	17	15	29	14	7	16	11	8	20	3	7	2	6	2	10	5	10	13	5
Amillepora13192	chr12	3219114	3225394	-	6281	21	17	11	19	10	10	5	14	7	8	9	6	6	6	8	8	4	11	7	3
Amillepora13198	chr12	3269112	3281899	-	12788	14	16	12	8	12	6	9	9	20	9	10	32	6	9	4	9	11	10	8	15
Amillepora13193	chr12	3237131	3246796	-	9666	378	294	373	347	316	139	276	365	124	278	174	374	177	298	80	359	186	250	154	204
Amillepora13195	chr12	3247107	3248310	-	1204	84	19	109	36	114	19	129	167	55	50	11	52	43	75	31	33	25	87	24	75
Amillepora13196	chr12	3249525	3268751	-	19227	329	338	317	282	204	75	243	286	126	301	179	276	132	255	138	281	224	212	191	160
Amillepora13203	chr12	3328779	3352750	-	23972	272	397	450	428	268	182	422	378	120	307	244	415	161	266	88	311	145	301	233	181
Amillepora13202	chr12	3306522	3326777	-	20256	943	826	914	1114	903	470	887	673	448	771	483	1477	513	837	268	840	537	760	419	529
Amillepora13205	chr12	3363804	3380757	-	16954	23	31	54	118	36	22	68	25	20	24	25	73	18	51	14	71	18	28	18	22
Amillepora13201	chr12	3304082	3304531	-	450	1	5	5	7	3	0	2	4	2	8	1	3	4	2	1	3	1	2	1	0
Amillepora13199	chr12	3283542	3285582	-	2041	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Amillepora13215	chr12	3471849	3475940	+	4092	112	135	125	107	60	44	84	131	36	102	47	107	32	68	25	90	62	91	80	44
Amillepora13212	chr12	3446489	3461125	+	14637	177	152	200	135	99	67	91	143	74	115	72	131	74	74	42	96	87	125	86	100
Amillepora13207	chr12	3387083	3396574	+	9492	44	54	52	83	66	28	52	51	17	31	25	68	36	32	10	52	33	44	38	40
Amillepora13209	chr12	3403181	3424399	+	21219	7	10	7	13	3	6	6	9	4	11	6	7	5	11	2	5	5	5	6	7
Amillepora13216	chr12	3478538	3483874	-	5337	33	30	36	46	33	14	24	26	18	36	22	46	24	21	12	19	19	16	24	29
Amillepora13211	chr12	3438354	3445687	-	7334	480	597	505	357	305	166	327	343	174	411	372	336	176	321	87	311	213	343	254	178
Amillepora13208	chr12	3398877	3415221	-	16345	26	23	34	32	18	10	13	18	8	13	12	40	11	10	8	10	11	13	15	14
Amillepora13210	chr12	3420898	3430181	-	9284	10	171	59	73	24	4	6	4	16	7	10	30	40	13	3	23	49	28	1	4
Amillepora13227	chr12	3575118	3581701	+	6584	465	569	665	472	235	181	245	375	217	360	320	384	220	223	122	344	200	370	256	198
Amillepora13224	chr12	3556938	3561726	+	4789	4	5	12	15	6	1	9	12	0	7	6	5	1	4	3	10	0	12	11	3
Amillepora13225	chr12	3563414	3573929	+	10516	257	218	257	341	132	103	234	163	80	181	152	270	115	150	73	237	105	193	183	124
Amillepora13223	chr12	3549768	3555514	+	5747	41	42	51	75	43	39	51	34	28	41	25	74	22	44	15	34	33	41	31	48
Amillepora13217	chr12	3484051	3493703	+	9653	496	458	586	618	429	159	429	351	196	321	328	477	220	324	180	397	280	372	308	232
Amillepora13222	chr12	3538949	3543720	-	4772	11	6	11	18	6	5	14	23	2	15	13	7	5	0	3	10	1	10	12	5
Amillepora13218	chr12	3495699	3500469	-	4771	9	8	13	29	7	3	20	14	3	4	8	9	7	1	5	16	3	11	11	2
Amillepora13220	chr12	3517901	3522877	-	4977	21	36	28	41	5	6	29	51	5	15	9	23	8	4	2	35	8	12	38	12
Amillepora13219	chr12	3509959	3511140	-	1182	0	0	2	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0
Amillepora13221	chr12	3525075	3530582	-	5508	3	2	1	3	0	0	2	6	0	3	0	2	1	4	0	0	0	1	3	0
Amillepora13228	chr12	3583826	3596871	+	13046	118	115	143	127	43	46	65	82	48	111	99	90	45	53	22	76	35	70	52	29
Amillepora13233	chr12	3642355	3664178	+	21824	150	100	148	151	101	36	104	84	24	55	91	110	94	75	28	106	65	94	61	34
Amillepora13235	chr12	3675567	3679711	+	4145	20	16	37	18	8	3	10	11	4	10	8	9	9	12	9	13	8	5	6	11
Amillepora13234	chr12	3666016	3669480	-	3465	5	9	7	11	4	2	5	2	5	9	4	6	1	2	1	6	3	8	5	3
Amillepora13236	chr12	3680742	3688385	-	7644	40	31	37	40	17	10	32	23	10	15	14	19	8	21	7	30	14	15	35	5
Amillepora13229	chr12	3597622	3599379	-	1758	189	109	145	86	79	56	83	79	59	119	81	113	33	93	41	115	53	64	51	64
Amillepora13232	chr12	3628019	3642052	-	14034	285	320	362	324	189	92	230	249	121	224	208	236	115	164	75	232	163	209	210	145
Amillepora13230	chr12	3606900	3616637	-	9738	108	152	129	131	30	42	95	63	64	65	67	79	28	74	35	83	71	80	56	39
Amillepora13231	chr12	3619694	3625592	-	5899	44	47	66	54	29	13	31	39	19	24	25	60	14	15	11	27	20	17	30	7
Amillepora13238	chr12	3693647	3699305	+	5659	106	123	163	120	134	69	86	151	39	91	58	94	71	109	39	88	92	68	129	95
Amillepora13240	chr12	3715481	3732228	+	16748	355	480	448	461	230	195	286	545	215	414	364	332	215	277	131	324	204	297	276	189
Amillepora13242	chr12	3736772	3750362	+	13591	155	30	30	25	12	7	13	29	9	93	11	18	7	31	23	26	14	67	9	19
Amillepora13244	chr12	3756906	3777745	+	20840	175	212	266	198	84	46	89	150	82	136	133	89	46	114	51	112	82	156	96	113
Amillepora13239	chr12	3699642	3715127	-	15486	500	585	704	916	381	178	525	738	180	385	314	668	252	511	194	716	283	411	382	270
Amillepora13237	chr12	3689745	3693518	-	3774	1191	1195	1163	1020	666	482	724	800	311	914	755	1118	502	629	199	875	382	783	594	476
Amillepora13246	chr12	3795268	3801089	+	5822	126	122	187	155	100	51	99	121	49	103	76	163	63	91	38	114	55	100	90	65
Amillepora13248	chr12	3837151	3857893	+	20743	838	773	790	1105	512	233	644	551	304	494	464	777	301	488	233	657	388	512	499	444
Amillepora13249	chr12	3859136	3862886	-	3751	4	4	9	3	6	3	2	4	2	1	1	8	1	3	0	8	0	8	4	3
Amillepora13250	chr12	3865965	3871818	-	5854	3	10	8	2	0	4	2	2	4	3	6	9	2	0	1	3	1	0	3	0
Amillepora13253	chr12	3910410	3916892	+	6483	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Amillepora13255	chr12	3929444	3937546	-	8103	4	7	12	9	1	2	11	2	39	1	6	10	3	5	0	2	3	5	0	1
Amillepora13252	chr12	3902507	3910040	-	7534	21	31	110	85	23	42	51	52	8	51	53	55	18	60	14	59	44	33	30	12
Amillepora13251	chr12	3881239	3896311	-	15073	191	249	194	105	126	38	87	105	86	111	65	156	77	78	42	158	129	100	105	81
Amillepora13254	chr12	3920532	3921310	-	779	0	0	3	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0
Amillepora13266	chr12	4058139	4060977	+	2839	4	8	5	4	0	0	3	4	2	1	1	4	1	5	3	0	3	5	2	1
Amillepora13263	chr12	4027031	4041345	+	14315	347	374	340	229	185	101	203	247	135	215	207	269	82	163	71	241	127	216	176	108
Amillepora13269	chr12	4076243	4077562	+	1320	13	26	46	13	3	5	8	18	4	10	9	18	2	13	4	9	4	4	9	5
Amillepora13259	chr12	3998828	4016696	+	17869	267	261	330	258	192	109	208	202	86	205	129	249	95	163	58	242	153	149	197	146
Amillepora13257	chr12	3975508	3998115	-	22608	170	186	169	295	80	42	127	153	69	94	107	172	65	103	36	145	88	125	88	71
Amillepora13261	chr12	4019071	4023425	-	4355	42	66	66	46	22	11	38	33	25	28	36	42	20	31	24	52	30	28	34	32
Amillepora13265	chr12	4045541	4048855	-	3315	0	3	9	6	1	3	6	0	0	0	1	1	1	0	0	0	2	1	0	2
Amillepora13262	chr12	4024314	4027054	-	2741	66	103	157	86	27	40	43	47	46	56	69	69	30	50	25	69	28	35	32	22
Amillepora13264	chr12	4042685	4045498	-	2814	49	19	67	38	12	9	15	11	9	18	36	26	6	17	11	30	11	15	16	5
Amillepora13268	chr12	4067209	4069426	-	2218	22	33	34	26	24	10	34	14	10	28	18	23	30	17	13	18	26	24	21	18
Amillepora13273	chr12	4133683	4138410	-	4728	1	16	6	10	2	1	3	6	5	2	6	3	2	3	1	4	2	3	12	1
Amillepora13270	chr12	4080266	4086187	-	5922	185	99	86	46	88	26	62	150	15	170	98	60	37	33	13	49	51	49	61	37
Amillepora13271	chr12	4097490	4098307	-	818	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
Amillepora13267	chr12	4063239	4066707	-	3469	5	25	18	12	7	1	8	8	6	13	4	7	4	7	1	8	4	2	8	2
Amillepora13272	chr12	4100992	4110827	-	9836	68	58	121	179	52	17	112	82	8	28	34	127	39	88	22	87	30	90	44	40
Amillepora13278	chr12	4271582	4275786	-	4205	5	16	7	24	13	7	10	7	4	9	15	18	5	6	1	8	3	7	7	4
Amillepora13277	chr12	4261569	4266157	-	4589	0	3	4	7	0	1	9	3	5	6	5	1	3	1	1	2	2	1	1	1
Amillepora13275	chr12	4171312	4209038	-	37727	526	942	822	1186	856	322	1000	571	341	637	418	612	329	540	234	1016	375	652	429	595
Amillepora13276	chr12	4210542	4259871	-	49330	630	593	679	614	405	208	477	384	194	499	360	475	229	361	150	444	253	398	304	275
Amillepora13287	chr12	4348373	4350463	+	2091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora13284	chr12	4306482	4322655	+	16174	46	65	50	45	20	16	35	44	22	24	37	39	32	21	7	37	30	27	23	28
Amillepora13281	chr12	4289697	4303826	+	14130	86	63	73	71	28	10	38	43	38	30	41	75	24	43	18	58	49	34	47	14
Amillepora13280	chr12	4279079	4289358	+	10280	59	36	25	87	35	34	64	47	16	57	28	87	16	37	10	43	18	40	37	37
Amillepora13285	chr12	4323319	4344852	-	21534	117	99	204	139	126	52	84	81	60	102	68	100	48	71	23	64	55	87	83	57
Amillepora13288	chr12	4352224	4363873	-	11650	150	80	86	114	48	39	48	49	15	60	20	77	67	36	15	70	25	29	33	20
Amillepora13289	chr12	4367847	4378276	-	10430	19	22	27	21	19	4	14	18	13	12	11	18	3	24	6	18	3	10	13	4
Amillepora13293	chr12	4417518	4423184	+	5667	221	225	254	271	111	103	140	184	113	181	156	245	102	135	51	218	112	110	118	70
Amillepora13291	chr12	4402144	4403700	+	1557	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0	1
Amillepora13295	chr12	4434668	4446478	+	11811	74	105	118	99	24	27	56	53	42	53	37	58	38	48	18	91	34	27	47	17
Amillepora13294	chr12	4424135	4434592	-	10458	173	106	144	189	34	48	87	67	32	64	70	114	36	69	30	123	50	58	47	33
Amillepora13296	chr12	4453099	4475546	-	22448	95	93	156	124	42	39	60	80	30	68	48	61	33	62	38	91	23	74	121	45
Amillepora13298	chr12	4483777	4489622	-	5846	3	5	5	4	2	0	2	4	8	4	1	4	0	1	4	1	1	6	4	8
Amillepora13290	chr12	4388980	4396993	-	8014	18	11	7	21	8	4	8	1	1	11	10	5	5	7	6	6	6	10	8	1
Amillepora13303	chr12	4542434	4543840	+	1407	13	32	22	35	12	7	29	11	6	21	17	14	14	14	6	10	9	10	11	13
Amillepora13299	chr12	4489644	4500282	+	10639	44	33	49	61	12	13	37	40	28	45	21	30	18	27	5	33	26	26	51	39
Amillepora13305	chr12	4552624	4560817	+	8194	78	66	143	96	34	36	63	63	34	54	49	54	34	33	14	47	26	43	33	28
Amillepora13304	chr12	4549811	4552617	+	2807	44	53	108	47	33	34	17	54	16	44	27	28	21	20	5	19	18	42	21	13
Amillepora13306	chr12	4583655	4585340	-	1686	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora13300	chr12	4501262	4534649	-	33388	86	178	201	189	40	29	89	128	61	111	91	134	60	60	31	118	52	56	64	48
Amillepora13313	chr12	4667296	4673135	+	5840	5	15	19	9	11	6	4	11	2	2	12	11	2	1	4	6	2	4	6	3
Amillepora13308	chr12	4596623	4601634	+	5012	22	31	28	20	16	11	23	31	9	14	14	20	7	14	6	17	10	13	8	21
Amillepora13310	chr12	4621672	4631933	+	10262	96	136	160	103	57	72	77	86	35	67	73	66	61	46	12	51	39	56	29	27
Amillepora13309	chr12	4602733	4613082	+	10350	51	42	112	70	30	23	43	53	37	34	55	49	24	29	13	18	21	31	15	15
Amillepora13312	chr12	4641979	4651369	-	9391	10	10	13	13	4	3	4	12	4	7	15	10	5	6	3	13	5	10	14	3
Amillepora13311	chr12	4632750	4639849	-	7100	6	5	4	0	3	2	3	4	4	4	0	2	0	0	0	2	0	2	2	1
Amillepora13314	chr12	4674935	4682659	+	7725	795	783	1679	1209	545	470	640	854	379	732	810	676	454	361	145	511	299	426	277	334
Amillepora13319	chr12	4720584	4727393	+	6810	203	205	164	219	130	82	169	188	63	166	129	195	98	156	44	169	116	170	161	139
Amillepora13318	chr12	4709840	4715840	+	6001	672	26	703	553	316	464	11	440	282	716	605	558	305	341	71	259	260	515	206	231
Amillepora13315	chr12	4683998	4694698	-	10701	163	162	215	183	121	89	92	196	66	163	117	147	90	102	50	148	57	123	62	83
Amillepora13321	chr12	4740197	4751158	-	10962	83	114	124	140	76	36	93	98	46	111	98	130	56	69	30	72	58	71	75	54
Amillepora13316	chr12	4699018	4713285	-	14268	298	278	352	288	118	152	129	232	121	213	246	260	113	187	52	227	162	166	166	108
Amillepora13331	chr12	4857587	4867134	+	9548	11	8	6	20	26	5	16	30	24	15	34	18	4	16	4	16	46	31	16	12
Amillepora13330	chr12	4847498	4849604	+	2107	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
Amillepora13326	chr12	4787161	4791823	+	4663	363	300	379	300	194	127	177	295	132	257	242	219	158	164	51	271	175	205	174	152
Amillepora13329	chr12	4826623	4827062	+	440	1	0	1	1	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0
Amillepora13327	chr12	4791859	4799794	-	7936	611	533	537	693	318	159	375	444	160	353	301	484	211	353	180	496	299	371	286	259
Amillepora13328	chr12	4810992	4814636	-	3645	9	1	37	0	3	0	0	0	0	0	0	0	0	0	1	0	4	0	4	0
Amillepora13322	chr12	4753372	4771705	-	18334	964	887	890	862	446	300	485	705	305	631	571	837	366	439	178	726	371	538	418	289
Amillepora13332	chr12	4874100	4885327	-	11228	16	12	6	6	9	6	13	27	21	14	31	10	5	2	26	45	46	29	17	29
Amillepora13324	chr12	4778569	4786746	-	8178	7	19	10	13	5	3	6	9	3	6	3	8	4	12	1	7	4	10	6	4
Amillepora13333	chr12	4918890	4924423	+	5534	87	17	15	7	29	8	48	35	12	54	16	46	2	25	6	17	14	54	15	12
Amillepora13334	chr12	4936114	4946324	+	10211	1639	1576	1788	1291	816	725	917	1243	589	1080	1133	1132	587	1059	276	816	727	1162	708	858
Amillepora13339	chr12	4994052	5015254	+	21203	394	360	394	410	224	188	357	404	158	389	242	461	189	284	95	348	260	340	203	199
Amillepora13341	chr12	5030502	5050395	+	19894	241	279	315	243	143	93	206	137	80	171	215	248	93	188	68	237	148	155	151	118
Amillepora13335	chr12	4957027	4992077	+	35051	392	479	445	428	144	131	229	292	139	211	258	330	129	201	87	302	117	194	229	116
Amillepora13340	chr12	5025898	5029221	-	3324	6	9	5	4	2	2	0	2	1	4	6	3	1	3	2	6	4	3	3	2
