amillepora00632 069l
amillepora20586 ergi3-2
amillepora16699 erh
amillepora18065 eri1
amillepora14018 eri2
amillepora24480 eri6b
amillepora12068 eric2
amillepora21380 eric3
amillepora27845 erlec
amillepora04894 erln2
amillepora00074 ermp1
amillepora14310 ern1
amillepora33724 ern1-2
amillepora33716 ern2
amillepora15211 ero1b
amillepora22127 erp29
amillepora26567 erp44
amillepora26568 erp44-2
amillepora26767 erpg3
amillepora28300 erpg3-2
amillepora34464 erpg3-3
amillepora09817 es8l1
amillepora23330 esco1
amillepora27218 esf1
amillepora25032 esip1
amillepora19325 espb1
amillepora11120 espl1
amillepora18927 espn
amillepora09904 espnl
amillepora17254 espnl-2
amillepora21475 espnl-3
amillepora25669 espnl-4
amillepora26461 espnl-5
amillepora27047 espnl-6
amillepora31276 espnl-7
amillepora34086 espnl-8
amillepora34591 espnl-9
amillepora35074 espnl-10
amillepora08778 esrp1
amillepora17084 ess2
amillepora22399 est1a
amillepora11076 est2
amillepora24289 estd
amillepora21005 esyt2
amillepora21006 esyt2-2
amillepora36748 esyt2-3
amillepora36749 esyt2-4
amillepora12442 esyt3
amillepora15516 etaa1
amillepora24692 etfb
amillepora10454 etfd
amillepora10462 etfd-2
amillepora10210 etfr1
amillepora10049 ethe1
amillepora30722 ets1
amillepora34927 ets1-2
amillepora37021 ets1-3
amillepora11597 etv1
amillepora08240 etv6
amillepora16231 etv6-2
amillepora34789 etv6-3
amillepora19272 eva1c
amillepora19279 eva1c-2
amillepora21945 eva1c-3
amillepora21946 eva1c-4
amillepora30597 eva1c-5
amillepora14789 evg1
amillepora01619 evi5l
amillepora12304 evx1
amillepora22300 ews
amillepora04471 exc6b
amillepora07801 exd1
amillepora32183 exd1-2
amillepora32184 exd1-3
amillepora34171 exd1-4
amillepora17158 exd2
amillepora17159 exd2-2
amillepora31093 exd2-3
amillepora31100 exd2-4
amillepora33816 exd2-5
amillepora18057 exga
amillepora11241 exo
amillepora26386 exo-2
amillepora07388 exo1
amillepora15547 exo1-2
amillepora15549 exo1-3
amillepora24998 exo5
amillepora07304 exoc1
amillepora02920 exoc2
amillepora10511 exoc2-2
amillepora21604 exoc3
amillepora02478 exoc4
amillepora02992 exoc5
amillepora14025 exoc7
amillepora19151 exoc8
amillepora14417 exog
amillepora15466 exog-2
amillepora18439 exog-3
amillepora34079 exog-4
amillepora31668 exos1
amillepora01429 exos2
amillepora01465 exos2-2
amillepora00003 exos3
amillepora12862 exos4
amillepora14902 exos5
amillepora08752 exos7
amillepora07710 exos8
amillepora08458 exos9
amillepora19152 exosx
amillepora20401 ext1
amillepora37605 ext1-2
amillepora04985 ext2
amillepora05006 ext2-2
amillepora20534 extl3
amillepora32632 extl3-2
amillepora04044 exu
amillepora05093 exu-2
amillepora15269 exu-3
amillepora23237 eya1
amillepora07953 eys
amillepora13250 eys-2
amillepora20779 eys-3
amillepora07611 ezh1
amillepora24191 ezh1-2
amillepora29280 ezh1-3
amillepora11323 ezh2
amillepora11325 ezh2-2
amillepora11493 ezh2-3
amillepora23773 ezh2-4
amillepora24190 ezh2-5
amillepora27221 ezh2-6
amillepora29068 ezh2-7
amillepora37030 ezh2-8
amillepora03422 ezra
amillepora06056 f102b
amillepora06423 f10a1
amillepora04132 f10c1
amillepora07535 f111a
amillepora06732 f1142
amillepora11257 f117b
amillepora04382 f118a
amillepora16769 f120a
amillepora00854 f124a
amillepora00912 f124a-2
amillepora13093 f124a-3
amillepora27941 f126b
amillepora27953 f126b-2
amillepora27370 f133b
amillepora21991 f135b
amillepora05740 f136a
amillepora01352 f13b
amillepora06006 f149a
amillepora26126 f151b
amillepora16540 f161b
amillepora19762 f162a
amillepora00838 f166b
amillepora03323 f166b-2
amillepora15436 f166b-3
amillepora22546 f166c
amillepora20842 f167a
amillepora22005 f167a-2
amillepora05920 f167b
amillepora08018 f16a1
amillepora04631 f16b1
amillepora01755 f16p2
amillepora02965 f172a
amillepora16599 f177a
amillepora16609 f177a-2
amillepora04253 f181a
amillepora26213 f183a
amillepora02574 f184a
amillepora05694 f184a-2
amillepora09716 f185a
amillepora09717 f185a-2
amillepora10516 f186a
amillepora15769 f186a-2
amillepora27826 f186a-3
amillepora31421 f186b
amillepora31445 f186b-2
amillepora05940 f1891
amillepora03345 f193a
amillepora10176 f199x
amillepora03236 f204a
amillepora27505 f207a
amillepora10806 f210b
amillepora05789 f214a
amillepora01308 f214b
amillepora20676 f216a
amillepora01817 f219a
amillepora08306 f221a
amillepora00126 f221b
amillepora14858 f227b
amillepora19557 f228b
amillepora14749 f234b
amillepora24578 f234b-2
amillepora10405 f262
amillepora23362 f91a1
amillepora08284 fa10
amillepora01353 fa11
amillepora09607 fa13a
amillepora34061 fa2h
amillepora26241 fa32a
amillepora08099 fa47e
amillepora11395 fa5
amillepora14694 fa5-2
amillepora14695 fa5-3
amillepora16304 fa5-4
amillepora17150 fa5-5
amillepora19982 fa5-6
amillepora03661 fa50a
amillepora03929 fa53c
amillepora35468 fa71d
amillepora03642 fa72b
amillepora19963 fa76a
amillepora04427 fa8
amillepora05078 fa8-2
amillepora06566 fa8-3
amillepora08708 fa8-4
amillepora11389 fa8-5
amillepora11397 fa8-6
amillepora14693 fa8-7
amillepora15002 fa8-8
amillepora15031 fa8-9
amillepora15033 fa8-10
amillepora20090 fa8-11
amillepora25348 fa8-12
amillepora25350 fa8-13
amillepora25687 fa8-14
amillepora35687 fa8-15
amillepora35703 fa8-16
amillepora36151 fa8-17
amillepora30537 fa83d
amillepora20463 fa8a1
amillepora12811 fa9
amillepora31004 fa9-2
amillepora05354 fa92a
amillepora08775 fa92a-2
amillepora15370 fa98a
amillepora26817 faaa
amillepora01329 faah2
amillepora19752 faah2-2
amillepora19753 faah2-3
amillepora09175 fabd
amillepora11668 fabh
amillepora26848 facc1
amillepora17972 facd2
amillepora20121 face1
amillepora20131 face1-2
amillepora16577 face2
amillepora16631 face2-2
amillepora13263 facr1
amillepora24593 fad1
amillepora27083 fadd
amillepora08878 fads1
amillepora08879 fads1-2
amillepora16325 fads1-3
amillepora31891 fads2
amillepora19823 faf1
amillepora21755 faf1-2
amillepora23487 faf1-3
amillepora26230 faf1-4
amillepora10111 faf2
amillepora03367 fah2a
amillepora23889 fah2b
amillepora32971 fah2b-2
amillepora33443 fah2b-3
amillepora05743 fahd1
amillepora05744 fahd1-2
amillepora12878 faim1
amillepora23430 fak1
amillepora03604 fan
amillepora02718 fan1
amillepora18557 fan1-2
amillepora10793 fanca
amillepora07675 fancb
amillepora25410 fancc
amillepora06440 fancf
amillepora06448 fancf-2
amillepora31674 fanci
amillepora22277 fancj
amillepora22279 fancj-2
amillepora15180 fancl
amillepora15580 fancm
amillepora15581 fancm-2
amillepora01384 fank1
amillepora03785 fank1-2
amillepora09728 fank1-3
amillepora10724 fank1-4
amillepora11760 fank1-5
amillepora13235 fank1-6
amillepora08836 fap24
amillepora08840 fap24-2
amillepora09733 fap24-3
amillepora09749 fap24-4
amillepora09750 fap24-5
amillepora09852 fap24-6
amillepora31138 farp1
amillepora19413 farp2
amillepora19417 farp2-2
amillepora28073 farp2-3
amillepora28076 farp2-4
amillepora28078 farp2-5
amillepora28100 farp2-6
amillepora29913 farp2-7
amillepora30825 farp2-8
amillepora30838 farp2-9
amillepora30841 farp2-10
amillepora30844 farp2-11
amillepora33317 farp2-12
amillepora34679 farp2-13
amillepora34685 farp2-14
amillepora37227 farp2-15
amillepora38043 farp2-16
amillepora00250 fas
amillepora13835 fas-2
amillepora25829 fas-3
amillepora05134 fat1
amillepora06704 fat1-2
amillepora08358 fat1-3
amillepora08361 fat1-4
amillepora32617 fat1-5
amillepora01113 fat2
amillepora03347 fat2-2
amillepora09502 fat2-3
amillepora14727 fat2-4
amillepora32598 fat2-5
amillepora32618 fat2-6
amillepora05303 fat3
amillepora05306 fat3-2
amillepora08860 fat3-3
amillepora28503 fat3-4
amillepora32603 fat3-5
amillepora36734 fat3-6
amillepora02761 fat4
amillepora06903 fat4-2
amillepora07948 fat4-3
amillepora08152 fat4-4
amillepora08857 fat4-5
amillepora08858 fat4-6
amillepora08890 fat4-7
amillepora09658 fat4-8
amillepora10143 fat4-9
amillepora15315 fat4-10
amillepora19715 fat4-11
amillepora20976 fat4-12
amillepora21028 fat4-13
amillepora21136 fat4-14
amillepora21362 fat4-15
amillepora28514 fat4-16
amillepora28521 fat4-17
amillepora29161 fat4-18
amillepora29165 fat4-19
amillepora29621 fat4-20
amillepora29623 fat4-21
amillepora11705 fau1
amillepora03058 faxc
amillepora03568 faxc-2
amillepora18260 faxc-3
amillepora20471 faxc-4
amillepora02837 fbcd1
amillepora19987 fbcd1-2
amillepora20007 fbcd1-3
amillepora20010 fbcd1-4
amillepora20014 fbcd1-5
amillepora20315 fbcd1-6
amillepora22844 fbcd1-7
amillepora27010 fbcd1-8
amillepora27018 fbcd1-9
amillepora14688 fbf1
amillepora12925 fbh1
amillepora17764 fbh1-2
amillepora17767 fbh1-3
amillepora37171 fbk24
amillepora23245 fbk77
amillepora02333 fbl17
amillepora33851 fbl17-2
amillepora35005 fbl17-3
amillepora09982 fbln1
amillepora24432 fbln1-2
amillepora37254 fbln2
amillepora00684 fbn1
amillepora08424 fbn1-2
amillepora12567 fbn1-3
amillepora12570 fbn1-4
amillepora12572 fbn1-5
amillepora12801 fbn1-6
amillepora19474 fbn1-7
amillepora20604 fbn1-8
amillepora21147 fbn1-9
amillepora28517 fbn1-10
amillepora00662 fbn2
amillepora00676 fbn2-2
amillepora00688 fbn2-3
amillepora00704 fbn2-4
amillepora02955 fbn2-5
amillepora04743 fbn2-6
amillepora08423 fbn2-7
amillepora08425 fbn2-8
amillepora12347 fbn2-9
amillepora12576 fbn2-10
amillepora12643 fbn2-11
amillepora19479 fbn2-12
amillepora23251 fbn2-13
amillepora00705 fbn3
amillepora12573 fbn3-2
amillepora15841 fbn3-3
amillepora18247 fbn3-4
amillepora25941 fbn3-5
amillepora35884 fbp1
amillepora15409 fbp1l
amillepora24590 fbrl
amillepora14768 fbw10
amillepora05109 fbw12
amillepora14351 fbw1a
amillepora18078 fbw1a-2
amillepora14350 fbw1b
amillepora20565 fbx10
amillepora20580 fbx10-2
amillepora06049 fbx11
amillepora26812 fbx11-2
amillepora09088 fbx15
amillepora10710 fbx15-2
amillepora21404 fbx16
amillepora20293 fbx21
amillepora24926 fbx21-2
amillepora04578 fbx22
amillepora12030 fbx24
amillepora24577 fbx3
amillepora10339 fbx30
amillepora05263 fbx41
amillepora16709 fbx42
amillepora19139 fbx42-2
amillepora21238 fbx43
amillepora21240 fbx5
amillepora18499 fbx7
amillepora08070 fbx8
amillepora20620 fbx9
amillepora05868 fbxl2
amillepora06822 fbxl2-2
amillepora09787 fbxl2-3
amillepora15020 fbxl2-4
amillepora12795 fbxl4
amillepora15233 fbxl5
amillepora17504 fbxl5-2
amillepora33906 fbxl6
amillepora33909 fbxl6-2
amillepora09969 fbxl7
amillepora12448 fbxl7-2
amillepora15283 fbxl7-3
amillepora17001 fbxl7-4
amillepora09431 fbxw2
amillepora21293 fbxw2-2
amillepora06203 fbxw4
amillepora00781 fbxw5
amillepora00782 fbxw5-2
amillepora00783 fbxw5-3
amillepora00786 fbxw5-4
amillepora00787 fbxw5-5
amillepora01442 fbxw7
amillepora01453 fbxw7-2
amillepora05955 fbxw7-3
amillepora07646 fbxw7-4
amillepora10737 fbxw7-5
amillepora16690 fbxw7-6
amillepora16798 fbxw7-7
amillepora27428 fbxw7-8
amillepora36943 fbxw7-9
amillepora24992 fbxw8
amillepora26132 fbxw9
amillepora22361 fcer2
amillepora32742 fcer2-2
amillepora32745 fcer2-3
amillepora32751 fcer2-4
amillepora35516 fcer2-5
amillepora04379 fcf1
amillepora20490 fcgbp
amillepora32125 fcgbp-2
amillepora32143 fcgbp-3
amillepora17811 fcho2
amillepora25586 fcho2-2
amillepora04309 fcl
amillepora03154 fcn1
amillepora27420 fcn1-2
amillepora29508 fcn1-3
amillepora07575 fcn3
amillepora07576 fcn3-2
amillepora07578 fcn3-3
amillepora07582 fcn3-4
amillepora07588 fcn3-5
amillepora07590 fcn3-6
amillepora33773 fcn3-7
amillepora25875 fcrl2
amillepora07116 fcsd2
amillepora03613 fcsk
amillepora03616 fcsk-2
amillepora28416 fdx2
amillepora06754 fdxa1
amillepora26139 fem1a
amillepora19178 fem1b
amillepora22606 fem1b-2
amillepora22614 fem1b-3
amillepora05555 fem1c
amillepora09251 fem1c-2
amillepora09306 fem1c-3
amillepora32217 fem1c-4
amillepora34807 fem1c-5
amillepora34812 fem1c-6
amillepora34951 fem1c-7
amillepora36824 fem1c-8
amillepora37871 fem1c-9
amillepora27542 fen1
amillepora09922 ferm2
amillepora27045 fes
amillepora15567 fez2
amillepora03377 fezf1
amillepora09551 fezf2
amillepora18443 fezf2-2
amillepora23209 fezf2-3
amillepora18293 fgd4
amillepora13451 fgd6
amillepora17967 fgd6-2
amillepora08470 fgf1
amillepora08579 fgf1-2
amillepora15595 fgf1-3
amillepora16701 fgf1-4
amillepora19857 fgf1-5
amillepora19858 fgf1-6
amillepora20398 fgf1-7
amillepora35429 fgf12
amillepora19859 fgf16
amillepora04163 fgf18
amillepora04164 fgf18-2
amillepora06508 fgf2
amillepora06631 fgf2-2
amillepora06633 fgf2-3
amillepora06636 fgf2-4
amillepora06638 fgf2-5
amillepora08580 fgf2-6
amillepora35427 fgf2-7
amillepora03321 fgf20
amillepora06320 fgf20-2
amillepora06493 fgf20-3
amillepora06563 fgf20-4
amillepora04166 fgf8
amillepora04152 fgfr1
amillepora06840 fgfr1-2
amillepora06841 fgfr1-3
amillepora08436 fgfr1-4
amillepora13344 fgfr1-5
amillepora13346 fgfr1-6
amillepora13355 fgfr1-7
amillepora17937 fgfr1-8
amillepora17938 fgfr1-9
amillepora18085 fgfr1-10
amillepora23468 fgfr1-11
amillepora23565 fgfr1-12
amillepora23669 fgfr1-13
amillepora26716 fgfr1-14
amillepora32580 fgfr1-15
amillepora34107 fgfr1-16
amillepora04149 fgfr2
amillepora12788 fgfr2-2
amillepora24452 fgfr2-3
amillepora04154 fgfr3
amillepora04160 fgfr3-2
amillepora23582 fgfr3-3
amillepora23599 fgfr3-4
amillepora23626 fgfr3-5
amillepora27589 fgfr3-6
amillepora33096 fgfr3-7
amillepora33744 fgfr3-8
amillepora35659 fgfr3-9
amillepora35662 fgfr3-10
amillepora04070 fgfr4
amillepora04181 fgfr4-2
amillepora07154 fgfr4-3
amillepora07293 fgfr4-4
amillepora27660 fgfr4-5
amillepora37401 fgfr4-6
amillepora00071 fggy
amillepora20008 fgl2
amillepora20009 fgl2-2
amillepora32172 fgl2-3
amillepora21692 fgm2
amillepora12991 fgop2
amillepora02323 fgrl1
amillepora04175 fgrl1-2
amillepora04177 fgrl1-3
amillepora13357 fgrl1-4
amillepora29464 fgrl1-5
amillepora04852 fhab
amillepora12164 fhab-2
amillepora17227 fhab-3
amillepora23083 fhab-4
amillepora23867 fhab-5
amillepora23928 fhab-6
amillepora36104 fhab-7
amillepora19622 fhad1
amillepora22193 fhit
amillepora05116 fhl2
amillepora05197 fhl2-2
amillepora08082 fhl2-3
amillepora08083 fhl2-4
amillepora27551 fhod3
amillepora01354 fhr5
amillepora06681 fibb
amillepora07584 fibb-2
amillepora33762 fibb-3
amillepora15125 fibp
amillepora09709 ficd
amillepora09757 ficd-2
amillepora20119 fig4
amillepora03880 figl1
amillepora13528 fil1l
amillepora23699 fil1l-2
amillepora22861 finc
amillepora08257 fip1
amillepora23698 fis1
amillepora02839 fkb14
amillepora20591 fkb14-2
amillepora29738 fkb14-3
amillepora29750 fkb14-4
amillepora00965 fkb15
amillepora01196 fkb15-2
amillepora03203 fkb15-3
amillepora23346 fkb1a
amillepora23394 fkb1a-2
amillepora12737 fkbp2
amillepora20509 fkbp2-2
amillepora36566 fkbp2-3
amillepora05968 fkbp4
amillepora36535 fkbp4-2
amillepora01891 fkbp8
amillepora03652 fkbp9
amillepora06215 fkrp
amillepora09415 fkrp-2
amillepora10115 fkrp-3
amillepora13004 fkrp-4
amillepora20973 fkrp-5
amillepora26975 fkrp-6
amillepora28536 fkrp-7
amillepora20982 fktn
amillepora26127 fktn-2
amillepora19727 fl2d
amillepora03066 flii
amillepora03073 flii-2
amillepora03076 flii-3
amillepora14400 flii-4
amillepora30534 flip1
amillepora00993 flna
amillepora15453 flna-2
amillepora16777 flna-3
amillepora26521 flna-4
amillepora15117 flnb
amillepora16417 flnb-2
amillepora16418 flnb-3
amillepora16419 flnb-4
amillepora16420 flnb-5
amillepora24049 flnc
amillepora28498 flo11
amillepora01115 flot1
amillepora01116 flot1-2
amillepora24953 flot2
amillepora30007 flot2-2
amillepora01084 flowr
amillepora13973 flrt2
amillepora17888 flrt2-2
amillepora24314 fltop
amillepora29591 fmc1
amillepora09075 fmn1
amillepora12203 fmn2
amillepora12932 fmnl1
amillepora08718 fmo1
amillepora06147 fmo2
amillepora08717 fmo2-2
amillepora22333 fmo2-3
amillepora22439 fmo2-4
amillepora00552 fmo4
amillepora00649 fmo4-2
amillepora22438 fmo5
amillepora24477 fmo5-2
amillepora00553 fmo6
amillepora00555 fmo6-2
amillepora00560 fmo6-3
amillepora00561 fmo6-4
amillepora00562 fmo6-5
amillepora08716 fmo6-6
amillepora04257 fmr2
amillepora33514 fmt
amillepora37319 fmt-2
amillepora13208 fnbp4
amillepora24602 fnd3a
amillepora04750 fnd3b
amillepora04753 fnd3b-2
amillepora20603 fnip2
amillepora24937 fnkc
amillepora05765 fnta
amillepora01974 focad
amillepora00161 folc
amillepora00162 folc-2
amillepora05035 folh1
amillepora26174 folh1-2
amillepora26175 folh1-3
amillepora28585 folr2
amillepora08346 folr3
amillepora32272 folr3-2
amillepora13768 fong
amillepora13782 fong-2
amillepora09450 fosl1
amillepora09464 fosl1-2
amillepora10183 fosl2
amillepora03346 foxb1
amillepora18750 foxb1-2
amillepora08816 foxc2
amillepora25239 foxd4
amillepora15119 foxg1
amillepora16853 foxi1
amillepora14349 foxj1
amillepora14352 foxj1-2
amillepora13175 foxj3
amillepora32204 foxj3-2
amillepora14565 foxk1
amillepora14575 foxk1-2
amillepora27452 foxl1
amillepora32285 foxl2
amillepora27527 foxn3
amillepora10392 foxn4
amillepora19758 foxo1
amillepora19756 foxo3
amillepora09951 foxo6
amillepora08817 foxq1
amillepora08818 foxq1-2
amillepora20073 fp100
amillepora15797 fpgt
amillepora10437 fpps
amillepora05094 fps
amillepora05941 fras1
amillepora12453 fras1-2
amillepora27861 fras1-3
amillepora29202 fras1-4
amillepora06869 frem2
amillepora16345 frem2-2
amillepora20635 frem2-3
amillepora16171 frg1
amillepora24462 frih
amillepora24463 frih-2
amillepora24464 frih-3
amillepora24465 frih-4
amillepora20723 fritz
amillepora16227 frk
amillepora18996 frk-2
amillepora35199 frk-3
amillepora06805 frm4a
amillepora03040 frmd3
amillepora28146 frmd7
amillepora15536 frmd8
amillepora05304 frpd2
amillepora18738 frpd2-2
amillepora21507 frpd3
amillepora06557 frpd4
amillepora04695 frrs1
amillepora04696 frrs1-2
amillepora09954 frrs1-3
amillepora25845 frrs1-4
amillepora25850 frrs1-5
amillepora34980 frrs1-6
amillepora04694 frs1l
amillepora04697 frs1l-2
amillepora07108 fryl
amillepora04271 fs2p1
amillepora14797 fscn1
amillepora12972 fshr
amillepora18493 fsip1
amillepora24819 fsp1
amillepora02589 fst
amillepora08271 fstl1
amillepora24673 fstl1-2
amillepora34501 fstl4
amillepora34502 fstl4-2
amillepora34505 fstl4-3
amillepora34506 fstl4-4
amillepora09796 fstl5
amillepora12790 ftcd
amillepora09057 ftm
amillepora30167 ftshl
amillepora28867 fubp1
amillepora23417 fubp2
amillepora01212 fubp3
amillepora23410 fubp3-2
amillepora23416 fubp3-3
amillepora23419 fubp3-4
amillepora23424 fubp3-5
amillepora25693 fucl1
amillepora05173 fuco
amillepora14097 fuco-2
amillepora14557 fuco-3
amillepora14583 fuco-4
amillepora14667 fuco-5
amillepora25763 fuco-6
amillepora32888 fuco-7
amillepora05141 fuco2
amillepora14666 fuco2-2
amillepora03639 fuct1
amillepora30321 fumc
amillepora16729 fumh
amillepora16742 fumh-2
amillepora24045 fund1
amillepora20263 furin
amillepora20330 furin-2
amillepora31904 furin-3
amillepora06592 fut10
amillepora36752 fut10-2
amillepora21009 fut11
amillepora23541 fut11-2
amillepora22319 fut3
amillepora22457 fut3-2
amillepora22320 fut4
amillepora22328 fut4-2
amillepora33372 fut4-3
amillepora22323 fut5
amillepora22324 fut5-2
amillepora22325 fut5-3
amillepora22327 fut5-4
amillepora22321 fut6
amillepora22322 fut6-2
amillepora22326 fut6-3
amillepora18940 fut7
amillepora05337 fut8
amillepora27405 fut8-2
amillepora06155 fuzzy
amillepora07704 fxdc2
amillepora03091 fxl12
amillepora08745 fxl14
amillepora09591 fxl14-2
amillepora12028 fxl17
amillepora31472 fxl17-2
amillepora24344 fxl18
amillepora03888 fxl20
amillepora12221 fxl20-2
amillepora22176 fxl20-3
amillepora23712 fxr2
amillepora33904 fxrd1
amillepora33911 fxrd1-2
amillepora23257 fxrd2
amillepora12215 fyco1
amillepora26603 fyv1
amillepora33595 fzd1
amillepora24790 fzd10
amillepora01808 fzd2
amillepora20470 fzd2-2
amillepora24788 fzd4
amillepora33597 fzd5
amillepora33596 fzd7
amillepora18080 fzd8
amillepora24750 fzd8-2
amillepora24783 fzd8-3
amillepora24784 fzd8-4
amillepora26214 fzr1
amillepora15072 g137b
amillepora02031 g2e3
amillepora02355 g2e3-2
amillepora02401 g2e3-3
amillepora02750 g2e3-4
amillepora05654 g2e3-5
amillepora09819 g2e3-6
amillepora10586 g2e3-7
amillepora11530 g2e3-8
amillepora12255 g2e3-9
amillepora13568 g2e3-10
amillepora15652 g2e3-11
amillepora16391 g2e3-12
amillepora16763 g2e3-13
amillepora20404 g2e3-14
amillepora20742 g2e3-15
amillepora21723 g2e3-16
amillepora21754 g2e3-17
amillepora22911 g2e3-18
amillepora22958 g2e3-19
amillepora26458 g2e3-20
amillepora27134 g2e3-21
amillepora27141 g2e3-22
amillepora27364 g2e3-23
amillepora27750 g2e3-24
amillepora28055 g2e3-25
amillepora28372 g2e3-26
amillepora28624 g2e3-27
amillepora28860 g2e3-28
amillepora30298 g2e3-29
amillepora30572 g2e3-30
amillepora30586 g2e3-31
amillepora31021 g2e3-32
amillepora31598 g2e3-33
amillepora32230 g2e3-34
amillepora33211 g2e3-35
amillepora33720 g2e3-36
amillepora35064 g2e3-37
amillepora35980 g2e3-38
amillepora36314 g2e3-39
amillepora37342 g2e3-40
amillepora37402 g2e3-41
amillepora37788 g2e3-42
amillepora37923 g2e3-43
amillepora30661 g3bp1
amillepora30817 g3bp1-2
amillepora34353 g3bp1-3
amillepora34613 g3bp1-4
amillepora06590 g3bp2
amillepora18960 g3p
amillepora17144 g3st1
amillepora19239 g3st1-2
amillepora19319 g3st1-3
amillepora19321 g3st1-4
amillepora00115 g3st3
amillepora17507 g6pd
amillepora05332 g6pi
amillepora09487 g6pt1
amillepora03640 g6pt2
amillepora24313 g6pt3
amillepora22148 ga2l1
amillepora25218 ga45a
amillepora06349 gab1
amillepora04514 gabp2
amillepora30723 gabpa
amillepora09689 gabr1
amillepora16095 gabr1-2
amillepora24527 gabr1-3
amillepora04849 gabr2
amillepora04931 gabr2-2
amillepora07530 gabr2-3
amillepora08028 gabr2-4
amillepora09498 gabr2-5
amillepora09694 gabr2-6
amillepora09698 gabr2-7
amillepora09699 gabr2-8
amillepora10103 gabr2-9
amillepora12580 gabr2-10
amillepora12581 gabr2-11
amillepora16092 gabr2-12
amillepora20139 gabr2-13
amillepora24453 gabr2-14
amillepora24454 gabr2-15
amillepora24528 gabr2-16
amillepora25098 gabr2-17
amillepora25099 gabr2-18
amillepora31790 gabt
amillepora08012 gadl1
amillepora19453 gadl1-2
amillepora19454 gadl1-3
amillepora02235 gag
amillepora02528 gag-2
amillepora02711 gag-3
amillepora04153 gag-4
amillepora09269 gag-5
amillepora09518 gag-6
amillepora12178 gag-7
amillepora25562 gag-8
amillepora26752 gag-9
amillepora26760 gag-10
amillepora28254 gag-11
amillepora31331 gag-12
amillepora32244 gag-13
amillepora34669 gag-14
amillepora34832 gag-15
amillepora35700 gag-16
amillepora36873 gag-17
amillepora37216 gag-18
amillepora25222 gak
amillepora33471 gak10
amillepora32944 gak19
amillepora32946 gak19-2
amillepora05531 gak5
amillepora13603 gak5-2
amillepora19169 gak5-3
amillepora23007 gak5-4
amillepora28177 gak5-5
amillepora30606 gak5-6
amillepora31286 gak5-7
amillepora32784 gak5-8
amillepora34407 gak5-9
amillepora37012 gak5-10
amillepora23499 gak6
amillepora23514 gak6-2
amillepora32463 gak6-3
amillepora37155 gak6-4
amillepora37406 gak6-5
amillepora04571 gal3a
amillepora06274 gald1
amillepora13097 gald1-2
amillepora21918 gale
amillepora14786 galk1
amillepora31784 galk2
amillepora16686 galm
amillepora10804 galns
amillepora11943 galr2
amillepora33894 galr2-2
amillepora33919 galr2-3
amillepora27321 galt
amillepora03339 galt1
amillepora12085 galt1-2
amillepora12086 galt1-3
amillepora27075 galt1-4
amillepora35996 galt1-5
amillepora11792 galt2
amillepora16292 galt2-2
amillepora34402 galt2-3
amillepora34404 galt2-4
amillepora12792 galt6
amillepora15760 galt7
amillepora34856 galt7-2
amillepora34863 galt7-3
amillepora34868 galt7-4
amillepora16461 ganab
amillepora21864 ganp
amillepora00137 gapd1
amillepora03482 gapr1
amillepora03483 gapr1-2
amillepora03484 gapr1-3
amillepora03577 gapr1-4
amillepora03578 gapr1-5
amillepora03705 gapr1-6
amillepora03948 gapr1-7
amillepora04553 gapr1-8
amillepora04597 gapr1-9
amillepora04599 gapr1-10
amillepora04600 gapr1-11
amillepora04601 gapr1-12
amillepora04602 gapr1-13
amillepora04605 gapr1-14
amillepora04606 gapr1-15
amillepora04607 gapr1-16
amillepora04609 gapr1-17
amillepora04610 gapr1-18
amillepora04612 gapr1-19
amillepora05410 gapr1-20
amillepora05665 gapr1-21
amillepora05673 gapr1-22
amillepora08588 gapr1-23
amillepora08589 gapr1-24
amillepora08591 gapr1-25
amillepora08592 gapr1-26
amillepora08593 gapr1-27
amillepora08594 gapr1-28
amillepora08595 gapr1-29
amillepora10698 gapr1-30
amillepora10850 gapr1-31
amillepora10851 gapr1-32
amillepora10852 gapr1-33
amillepora10853 gapr1-34
amillepora10854 gapr1-35
amillepora10855 gapr1-36
amillepora10856 gapr1-37
amillepora10860 gapr1-38
amillepora10861 gapr1-39
amillepora10862 gapr1-40
amillepora10863 gapr1-41
amillepora11725 gapr1-42
amillepora11727 gapr1-43
amillepora13475 gapr1-44
amillepora13476 gapr1-45
amillepora15424 gapr1-46
amillepora15426 gapr1-47
amillepora18187 gapr1-48
amillepora22046 gapr1-49
amillepora22049 gapr1-50
amillepora22075 gapr1-51
amillepora23112 gapr1-52
amillepora31629 gapr1-53
amillepora31630 gapr1-54
amillepora31643 gapr1-55
amillepora31644 gapr1-56
amillepora37093 gapr1-57
amillepora07796 gar1
amillepora09074 gare2
amillepora00923 garl3
amillepora12510 gars
amillepora00128 gas2
amillepora05030 gas2-2
amillepora08285 gas6
amillepora12562 gas6-2
amillepora14681 gasp1
amillepora27944 gasr
amillepora11686 gata
amillepora11689 gata-2
amillepora11700 gata-3
amillepora11702 gata-4
amillepora11704 gata-5
amillepora11708 gata-6
amillepora11719 gata-7
amillepora11721 gata-8
amillepora19862 gata-9
amillepora16116 gata3
amillepora13602 gatb
amillepora23761 gatb-2
amillepora05593 gatd1
amillepora05793 gatm
amillepora05795 gatm-2
amillepora10146 gba2
amillepora13494 gba2-2
amillepora13499 gba2-3
amillepora31296 gba2-4
amillepora13764 gba3
